,track,album,artist
0,The Giver,The Giver,Chappell Roan
1,Sailor Song,Sailor Song,Gigi Perez
2,"At The Beach, In Every Life","At The Beach, In Every Life",Gigi Perez
3,12 to 12,12 to 12,sombr
4,"Sally, When The Wine Runs Out",Kansas Anymore (The Longest Goodbye),ROLE MODEL
5,Our Own House,Our Own House,MisterWives
6,we never dated,we never dated,sombr
7,21st Century Cool Girl,21st Century Cool Girl,Chloe Qisha
8,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish
9,La Lune,Writing of Blues and Yellows (Deluxe Version),Billie Marten
10,Sunset,"Desire, I Want To Turn Into You",Caroline Polachek
11,The Fate of Ophelia,The Life of a Showgirl,Taylor Swift
12,THINGS BEHIND THINGS BEHIND THINGS,"SABLE, fABLE",Bon Iver
13,Long Blue Light,Long Blue Light,Leif Vollebekk
14,Hemingway,Hemingway,girl in red
15,The Hudson,The Hudson,The Favors;FINNEAS;Ashe
16,Chemistry,Chemistry,Gigi Perez
17,Big Black Car,This Empty Northern Hemisphere,Gregory Alan Isakov
18,Did I Say Too Much,No Hard Feelings,The Beaches
19,Tiny Dancer,Madman Across The Water,Elton John
20,Coloring Outside The Lines,Connect The Dots,MisterWives
21,Everything Is Peaceful Love,"SABLE, fABLE",Bon Iver
22,Earthstar,Earthstar Mountain,Hannah Cohen
23,Our House,Deja Vu,"Crosby, Stills, Nash & Young"
24,Die With A Smile,Die With A Smile,Lady Gaga;Bruno Mars
25,Angels Like You,Plastic Hearts,Miley Cyrus
26,Red Wine Supernova,The Rise and Fall of a Midwest Princess,Chappell Roan
27,That’s So True,The Secret of Us (Deluxe),Gracie Abrams
28,Nice To Each Other,Nice To Each Other,Olivia Dean
29,Vodka Cranberry,Wishbone,Conan Gray
30,CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish
31,Call It Dreaming,Beast Epic,Iron & Wine
32,1950,1950,King Princess
33,Skinny Love,"For Emma, Forever Ago",Bon Iver
34,"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan
35,"Paris, Texas (feat. SYML)",Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey;SYML
36,כל מה שיש לי,כל מה שיש לי,Rona Kenan
37,S P E Y S I D E,"SABLE, fABLE",Bon Iver
38,undressed,I Barely Know Her,sombr
39,Real Love Baby,Real Love Baby,Father John Misty
40,"Flightless Bird, American Mouth",The Shepherd's Dog,Iron & Wine
41,Messy,This Wasn't Meant For You Anyway,Lola Young
42,back to friends,back to friends,sombr
43,crooked the road.,crooked the road.,Mon Rovîa
44,Naked as We Came,Our Endless Numbered Days,Iron & Wine
45,Pink Moon,Pink Moon,Nick Drake
46,Nettles,Nettles,Ethel Cain
47,Pink Pony Club,The Rise and Fall of a Midwest Princess,Chappell Roan
48,Relationships,I quit,HAIM
49,Do I Wanna Know? - Live At the BBC,Hozier (Special Edition),Hozier
50,Suzanne,Songs Of Leonard Cohen,Leonard Cohen
51,Bloom (Online Bonus Track),Woodland,The Paper Kites
52,Flowers,Endless Summer Vacation,Miley Cyrus
53,Older,Older,Lizzy McAlpine
54,World on a String,Here in the Pitch,Jessica Pratt
55,Towers,"Bon Iver, Bon Iver",Bon Iver
56,Beautiful Things,Beautiful Things,Benson Boone
57,"I Lied, I'm Sorry","I Lied, I'm Sorry",Chloe Qisha
58,Holocene,"Bon Iver, Bon Iver",Bon Iver
59,Fable,Fable,Gigi Perez
60,I Know A Place,About U,MUNA
61,Pushing It Down and Praying,Pushing It Down and Praying,Lizzy McAlpine
62,"Ketchum, ID",boygenius,boygenius;Julien Baker;Phoebe Bridgers;Lucy Dacus
63,What You Know,Tourist History,Two Door Cinema Club
64,Anchor,Bathing Beach,Novo Amor
65,El Invento,Local Valley,José González
66,Fuck Me Eyes,"Willoughby Tucker, I'll Always Love You",Ethel Cain
67,Blue Ridge Mountains,Fleet Foxes,Fleet Foxes
68,Texas Sun,Texas Sun,Khruangbin;Leon Bridges
69,Ribs,Pure Heroine,Lorde
70,Shake It Out,Ceremonials (Original Deluxe Version),Florence + The Machine
71,Motion Sickness,Stranger in the Alps,Phoebe Bridgers
72,50 Ways to Leave Your Lover,Still Crazy After All These Years,Paul Simon
73,Image,Imaginal Disk,Magdalena Bay
74,What Was That,What Was That,Lorde
75,לפני שהכל נרדם,לפני שהכל נרדם,Alma Gov;Avner Tueg
76,Autumn Town Leaves,Weed Garden,Iron & Wine
77,Solar Power,Solar Power,Lorde
78,Got To Be Mine,Dot,Vulfmon;Evangeline
79,Amsterdam,The Weatherman,Gregory Alan Isakov
80,Landslide,Fleetwood Mac,Fleetwood Mac
81,"I Love You, I'm Sorry",The Secret of Us,Gracie Abrams
82,טוב לאדם,נקיון,הגל השני;Tomer Yeshayahu
83,Patterns,Patterns,Laura Marling
84,Rust.,Rust.,Mon Rovîa
85,Heart of Gold - 2009 Remaster,Harvest (2009 Remaster),Neil Young
86,Austin (Boots Stop Workin'),What Happens Now?,Dasha
87,Heartbreakdown,Heartbreakdown,SYML
88,Northern Sky,Bryter Layter,Nick Drake
89,Should Have Known Better,Carrie & Lowell,Sufjan Stevens
90,Famous Blue Raincoat,Songs Of Love And Hate,Leonard Cohen
91,Dancing On My Own,Body Talk,Robyn
92,Scott Street,Stranger in the Alps,Phoebe Bridgers
93,"Stay Alive - From ""The Secret Life of Walter Mitty"" Soundtrack",Stay Alive (From The Secret Life Of Walter Mitty),José González
94,Such Great Heights,Around the Well,Iron & Wine
95,אתה כולם,אתה כולם,יוגב גלוסמן
96,Your Song,Elton John,Elton John
97,Beyond,Good Thing,Leon Bridges
98,River,Coming Home (Deluxe),Leon Bridges
99,שוב במדבר,עולם שלי,Alma Gov
